FlexPDE Version 7.22/W64  16:05:58 Nov 24 2023
(Times listed are wall-clock times, not charged CPU).

START C:\Users\student\Documents\254883\my file 2.1.pde  11:54:55 3/6/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to C:\Users\student\Documents\254883\my file 2.1_output/my file 2.1_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:03| Step 81 Time= 0.193569 Dt= 0.029466 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.559e-4 MAX ERR= 0.001254 TIME ERR= 6.709e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
 +00:00:03| Step 82 Time= 0.230401 Dt= 0.036832 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.586e-4 MAX ERR= 0.001259 TIME ERR= 8.073e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
 +00:00:03| Step 83 Time= 0.276442 Dt= 0.046040 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.600e-4 MAX ERR= 0.001262 TIME ERR= 7.775e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
 +00:00:03| Step 84 Time= 0.333992 Dt= 0.057550 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.606e-4 MAX ERR= 0.001263 TIME ERR= 6.904e-4 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| Step 85 Time= 0.405930 Dt= 0.071938 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.607e-4 MAX ERR= 0.001263 TIME ERR= 5.291e-4 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| Step 86 Time= 0.495853 Dt= 0.089923 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.607e-4 MAX ERR= 0.001263 TIME ERR= 3.239e-4 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| Step 87 Time= 0.608256 Dt= 0.112403 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.606e-4 MAX ERR= 0.001263 TIME ERR= 1.356e-4 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| Step 88 Time= 0.748760 Dt= 0.140504 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.605e-4 MAX ERR= 0.001263 TIME ERR= 1.615e-5 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| Step 89 Time= 0.924390 Dt= 0.175630 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.605e-4 MAX ERR= 0.001263 TIME ERR= 2.585e-5 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| Step 90 Time= 1.000000 Dt= 0.075610 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.605e-4 MAX ERR= 0.001263 TIME ERR= 1.952e-6 Orthomin/ILU=(25) MEM(KiB)=11746 
 +00:00:03| --DONE-- 11:54:58 3/6/24
